label,target_x,target_y,target_z,J1,J2,pos6,J3_lab2,pred_x,pred_y,pred_z,act_x,act_y,act_z,err_vs_predicted_mm,err_vs_target_mm
"Interior, centered",200.0,0.0,-50,0.0,47.486710630617225,73.89048155313027,-26.403770922513047,200.00000000000006,0.0,-49.99999999999996,200.0,0.0,-50.0,7.105427357601002e-14,0.0
"Interior, off-axis (+J1)",181.26,84.52,-60,24.99924025740066,52.036476141087846,76.68182000647796,-24.645343865390117,181.25999999999996,84.51999999999998,-59.999999999999986,181.25997924804688,84.5199966430664,-59.99998474121094,2.5975819586608254e-05,2.597581961949851e-05
"Interior, off-axis (-J1)",181.26,-84.52,-60,-24.99924025740066,52.036476141087846,76.68182000647796,-24.645343865390117,181.25999999999996,-84.51999999999998,-59.999999999999986,181.25997924804688,-84.5199966430664,-59.99998474121094,2.5975819586608254e-05,2.597581961949851e-05
"Outer radius, mid depth",254.82,40.36,-50,9.000104609517553,58.269472955293075,55.399185593633284,2.8702873616597913,254.81999999999996,40.36,-50.0,254.8199920654297,40.36000061035156,-50.00000762939453,1.1024409073902283e-05,1.1024409094358168e-05
"Outer radius, shallow",257.37,18.0,-8,4.0006505229963985,44.522883211083375,45.16909490008744,-0.6462116890040619,257.37,18.0,-7.999999999999986,257.3699951171875,18.000001907348633,-7.9999847412109375,1.613414019964639e-05,1.613414021308624e-05
"Deep z, forward",220.0,0.0,-80,0.0,62.933196678707226,74.17550646893218,-11.242309790224958,220.0,0.0,-80.0,219.99998474121094,0.0,-80.0,1.52587890625e-05,1.52587890625e-05
"Deep z, rotated",200.84,75.18,-80,20.522273028569213,62.31513429863547,76.14351479127319,-13.82838049263772,200.84,75.18,-80.0,200.83999633789062,75.18000030517578,-80.0,3.674803035911057e-06,3.674803035911057e-06
"Shallow z, variety",230.0,60.0,-20,14.620873988631656,42.811368258791255,54.07289483795942,-11.261526579168162,230.0,60.0,-19.999999999999986,230.0,60.000003814697266,-19.99999237060547,8.529922386809497e-06,8.529922399520072e-06
"High J1 (J1=70), mid depth",68.4,187.94,-50,70.00122913045558,47.486711813931265,73.89047866622678,-26.40376685229552,68.40000000000003,187.94000000000005,-50.0,68.4000015258789,187.9399871826172,-50.00000762939453,1.4994041176646612e-05,1.4994041130947405e-05
"Mid z, off-axis",200.0,100.0,-60,26.56505117707799,55.18094555466895,68.83407983118455,-13.653134276515601,200.0,100.0,-59.99999999999997,199.99996948242188,99.99999237060547,-60.00000762939453,3.2368779663065675e-05,3.2368779656366614e-05
"Deeper, near-outer radius",210.0,0.0,-63,0.0,54.523319389803504,74.06331859133452,-19.539999201531018,210.00000000000006,0.0,-63.0,210.0,0.0,-63.0,5.684341886080802e-14,0.0
"Outer radius, deep",245.0,50.0,-65,11.534620653644716,61.90564641457209,61.00463986401493,0.9010065505571561,245.0,49.99999999999999,-65.0,245.00001525878906,50.0,-65.0,1.52587890625e-05,1.52587890625e-05
