label,x_mm,y_mm,z_mm,J1_deg,cam_x_m,cam_y_m,cam_z_m
calib_00,180.0,0.0,-30.0,0.0,0.046849,0.02172,0.46287
calib_01,200.0,30.0,-30.0,8.5308,0.028263,0.044906,0.460819
calib_02,200.0,-30.0,-30.0,-8.5308,0.033355,-0.00496,0.466358
calib_03,220.0,50.0,-30.0,12.8043,0.010479,0.059553,0.459378
calib_04,220.0,-50.0,-30.0,-12.8043,0.019038,-0.023203,0.468305
calib_05,240.0,0.0,-30.0,0.0,-0.001414,0.016592,0.46031
calib_06,200.0,40.0,-75.0,11.3099,0.026967,0.055473,0.536966
calib_07,200.0,-40.0,-75.0,-11.3099,0.034208,-0.011214,0.544527
calib_08,220.0,60.0,-75.0,15.2551,0.01021,0.070323,0.538099
calib_09,220.0,-60.0,-75.0,-15.2551,0.020371,-0.0292,0.547826
calib_10,240.0,20.0,-75.0,4.7636,-0.002486,0.035639,0.544311
